LGA Name,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CITY OF WHITTLESEA,M,109542887.9,111583555.1,101000103.4,103500568.1,109161212,111651602.4,115293165.4,118475586.3,120706256,91066518.95
SHIRE OF NORTHERN GRAMPIANS,C,10717934.53,11219410.93,10141415.48,10350645.47,10037879.85,9050693.24,9105582.1,9720508.22,9200584.38,7004272.36
CITY OF GREATER GEELONG,C,118468591,118316078.1,109719648.5,111628148,113020950.2,113204988,115418843.9,118832442.7,120385434.8,89137264.73
SHIRE OF COLAC-OTWAY,C,11056415.14,10916081.31,10194614.63,10074894.08,10263298.65,10162887.94,10230950.6,10242791.8,10751619.42,8316806.76
SHIRE OF MOORABOOL,C,10837412.1,11165340.5,10546450.85,10309883.23,10575644.5,10613374.38,11395789.53,11962064.64,12340743.82,9631820.68
SHIRE OF CENTRAL GOLDFIELDS,C,11389480.97,11129718.12,10303788.61,10384719.19,10099589.97,10221024.56,10148425.77,10591443.59,10448696,7997284.57
SHIRE OF MITCHELL,C,18210903.55,18356183.7,17618178.38,17680395.37,18874667.76,19214040.62,20409503.82,21904937.82,21919912.88,15072872.43
SHIRE OF ALPINE,C,3618983,3280220.48,3012874.77,3119936.04,3120455.72,2517169.5,2571123.72,2457035.73,2304602.04,1892293.33
RURAL CITY OF BENALLA,C,8570520.77,8333757.77,9556487.16,10150100.66,10059504.85,10804029.59,10078993.2,10824258.95,11077898.86,8887679.38
SHIRE OF CAMPASPE,C,9156894.83,9670758.37,8755316.67,8884033.85,9658435.67,10077587.28,10476051,10180943.42,10805342.54,8330467.01
SHIRE OF GLENELG,C,13379123.46,14285793.62,13559711.75,12746480.8,13184327.24,12441099.28,12768517.91,12968196.82,13278938.96,10312488.7
Shire of Wellington,C,23571363.13,23543015.31,21947483.5,21566360.32,21450507.97,21744942.04,21829657.87,21260639.2,21540735.76,17095751.31
Rural City of Wodonga,C,8244785.64,7450526.28,7235537.36,6900172.96,7472194.92,7664502.64,7517544.65,7768079.86,7643162.83,6203088.85
City of Warrnambool,C,19525284.58,18639839.69,16367438.67,17318805.25,18222763.26,18542341.26,18794442.23,19072936.03,19365548.92,15064562.02
City of Greater Bendigo,C,45531126.7,47459788.26,45393331.25,46243389.76,47678424.57,48696383.97,47754127.2,49335223.89,50671967.86,37393438.34
City of Ballarat,C,55697119.25,55938278.7,52533913.09,53642391.94,53623993.63,54611247.32,54568804.35,55763965.38,57540687.41,43713216.26
Rural City of Swan Hill,C,6672689,7193380.26,7079880.72,6678962.65,6532534.53,7527429.31,7439367.75,8074233.89,8486157.84,5971315.03
City of Greater Shepparton,C,30281878.19,30565582.38,29023614.49,29376039.78,31380787.26,31422084.52,31147764.24,33343094.2,34161100.28,24979550.94
Rural City of Mildura,C,24133492.57,25255276.4,24827820.97,24700237.3,25640869.01,25711760.39,25309607.49,28052968.58,29990565.1,22534278.34
Shire of East Gippsland,C,24561856.99,24314026.84,21432405.19,22323581.83,22343699.93,23639559.17,23472196.09,24387766.16,25103671.73,19870189.94
Shire of Bass Coast,C,19026580.86,19134332.55,15111575.39,15087373.6,15851964.94,16321155.47,16126066.61,17675542.3,17616911.38,13044199.82
City of Latrobe,C,47439259.42,47329538.5,43758066.92,44333812.33,43613709.09,43563001.39,43552057.13,44669216.68,46054599.85,34582777.34
Shire of Surf Coast,C,3967750.14,3698923.57,2878670.79,2855819.51,2818479.72,2854155.94,2924662.21,3171443.64,3639388.08,2960696.56
Shire of South Gippsland,C,6493549.6,6618473.57,6669516.97,6514572.41,6592483.67,6565792.42,6575894.83,6302670.64,6396812.57,5146148.99
Shire of Macedon Ranges,C,9485033.64,9489139.02,9144677.34,8360298.91,8656079.05,9179543.81,9526013.69,9557852.54,9594189.79,6875014.49
Rural City of Horsham,C,9384387.81,9295864.7,9291228.29,9498045.33,9531130.75,9269919.86,9202786.89,9511776.16,9923476.11,7232445.14
Shire of Baw Baw,C,12687411.43,13146890.43,12138619.08,12641199.17,13295313.54,14661092.83,15586093.22,16428073.8,17178584.59,12615876.95
Rural City of Wangaratta,C,8185219.69,8255931.13,7756823.52,7856837.79,8128251.05,8236834.09,8712157.83,8725929.3,8873355.74,6958810.67
City of Melbourne,M,66493684.62,70308561.85,70739983.13,72707033.11,75868075.11,79770052.63,80349220.84,83992700.4,84505931.59,60550927.45
City of Moreland,M,69419769.95,69605532.52,63669829.73,63642789.1,63521371.65,63531110.68,61627685.48,64168977.16,63544651.2,45240802.69
City of Darebin,M,89028981.75,89265723.15,82386001.17,82359807.15,83857397.07,84324281.52,81112259.79,82129607.7,81576110.09,56942296.11
City of Boroondara,M,20272378.78,20182384.37,19132153.5,19414918.54,20957038.26,19997261.39,19330775.5,20325757.29,20450974.24,13839655.64
City of Whitehorse,M,55868897.51,55013142.67,50781660.09,51944253.64,51581759.5,53182056.73,52884289.66,53601233.78,52795623.89,37533801.12
City of Manningham,M,65263769.54,65318584.66,58313226.93,55677479.58,56406754.76,56271032.24,54170062.46,58387460.55,56358630.19,40882396.55
City of Banyule,M,58356211.42,57804745.48,55261443.42,55019402.31,54512648.72,55979946.78,55820854.07,58536906.89,57758108.75,42485587.54
City of Maroondah,M,68684420.19,66782903.16,62415124.12,62294867.29,61694366.5,65184083.08,65114897.86,65326363.45,62861488.65,45231944.01
City of Knox,M,84037698.46,85588265.07,74895446.68,74200233.9,73362492.12,73822339.93,75061924.49,75860234.52,73890071.24,53495581.38
City of Monash,M,122053303.7,122352426.2,112663385.4,109202526.6,114356289.3,111391124,109200787.1,111942285.4,110209894.9,80541622.78
City of Port Phillip,M,28553964.6,27583235.03,24788263.9,26153986.77,28842530.39,28095943.28,27466983.75,27496648.16,28426650.63,21478127.17
City of Kingston,M,86304047,86504008.27,78986274.55,79825384.39,81509892.75,83473105.91,83016928.48,86280868.83,85701350.43,62080320.77
City of Greater Dandenong,M,117262476.7,117556981,109299013.5,110134642.6,117004770.1,118836649.2,118190093,121420072.8,119311877.9,87430092.38
City of Frankston,M,69950584.46,71286100.35,62225277.19,60249332.64,62065687.29,62900685.34,62408098.64,64622291.4,62253454.9,46303077.79
City of Casey,M,124027120.1,125835347,114485607,113243208.1,119384478.7,124817967.3,127093891.9,131514174.6,132360622,98000778.71
Shire of Cardinia,M,20768966.52,21875156.16,20595653.84,21217863.1,23259238.9,25041008.45,27045323.57,29046899.53,28545146.74,21286227.94
Shire of Yarra Ranges,M,31325668.06,30695265.34,26013535.35,26635127.98,28786766.8,28793677.63,28850082.09,29300516.12,29226804.27,21194989.29
City of Hume,M,102718846.5,103993534.4,98760072.21,101822277.7,104943986,106043755,105766409.6,109623804.8,111695894.1,85935114.72
City of Brimbank,M,139385098.3,145619089.8,137637439.1,138542665.6,141609226.8,143045743.5,134141671.9,139507225.2,142904247.8,101974223.8
Shire of Melton,M,49346853.6,56522260.26,53565855.91,54211051.13,57349284.44,60035038.01,61157311.67,66052977.77,67781774.82,51592384.79
City of Hobsons Bay,M,51364711.59,52632388.38,47861113.63,47196551.19,46430981.96,46829609.25,46908518.85,47437370.43,47042973.65,34611658.77
City of Wyndham,M,85988380.87,88533566.15,87822812.06,90342545.32,93116687.86,97384531.85,97761233.6,105458372.2,106057102.2,75755561.99
Shire of Mornington Peninsula,M,83220508.82,83581310.21,78899226.33,79046839.17,79400240.34,82381143.15,82563313.29,83996241.79,83357567.15,63053341.44
City of Yarra,M,31854316.71,31424190.89,29671353.13,30077711.86,31084714.55,32992353.39,30801195.8,31076310.57,30265707.48,22747249.32
City of Maribyrnong,M,56630431.92,56099418.11,52788996,52905865.71,52994016.09,53735025.14,54068510.53,54924962.83,57257924.75,42243207.83
City of Stonnington,M,22317740.95,23511315.73,21423048.7,21575746.54,23019972.59,23443276.63,23032562.79,20852827.55,19862345.3,14118284.77
City of Glen Eira,M,75772778.8,74342426.78,71085293.04,72059137.19,73555920.9,76214352.31,76259820.19,77171466.4,74244676.72,54025303.76
City of Bayside,M,18161762.82,18137210.89,15823311.67,15788451.25,15813241.53,13615020.66,14710079.11,15378669.22,13807869.64,10227125.75
City of Moonee Valley,M,77097074.93,77910935.2,71499311.56,72123897.08,74747047.29,75401077.51,75679083.21,78589175.42,77650758.56,57497773.73
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
  CITY OF WHITTLESEA consists of City of Whittlesea and Shire of Nillumbik,,,,,,,,,,,
  SHIRE OF NORTHERN GRAMPIANS consists of Rural City of Ararat and Shire of Northern Grampians,,,,,,,,,,,
  CITY OF GREATER GEELONG consists of Borough of Queenscliffe and City of Greater Geelong,,,,,,,,,,,
  SHIRE OF COLAC-OTWAY consists of Shire of Corangamite and Shire of Colac-Otway,,,,,,,,,,,
  SHIRE OF MOORABOOL consists of Shire of Hepburn and Shire of Moorabool,,,,,,,,,,,
  SHIRE OF CENTRAL GOLDFIELDS consists of Shire of Central Goldfields and Shire of Mount Alexander,,,,,,,,,,,
"  SHIRE OF MITCHELL consists of Shire of Mansfield, Shire of Murrindindi and Shire of Mitchell",,,,,,,,,,,
  SHIRE OF ALPINE consists of Shire of Towong and Shire of Alpine,,,,,,,,,,,
"  RURAL CITY OF BENALLA consists of Shire of Moira, Shire of Strathbogie, and Rural City of Benalla",,,,,,,,,,,
  SHIRE OF CAMPASPE consists of Shire of Gannawarra and Shire of Campaspe,,,,,,,,,,,
  SHIRE OF GLENELG consists of Shire of Glenelg and Shire of Southern Grampians,,,,,,,,,,,
,,,,,,,,,,,
*Gambling venues across Victoria have been closed since 16 March 2020 to slow the spread of coronavirus. Gaming expenditure data published during that time reflects these closures.,,,,,,,,,,,